俗名	拉丁名	基因组大小M	单位或作者	文章标题	期刊名称	文章DOI	PUBMED号	发表年份	开始年份	分类	分组
(Pink barren strawberry)	Potentilla micrantha	406	Buti M et al.	The genome sequence and transcriptome of Potentilla micrantha and their comparison to Fragaria vesca (the woodland strawberry)	GigaScience 2018: giy010	10.1093/gigascience/giy010		2018	2018/2/15	rosid	1
(Corkscrew plant)	Genlisea aurea	64	Leushkin et al.	The miniature genome of a carnivorous plant Genlisea aurea contains a low number of genes and short non-coding sequences.	BMC Genomics. 2013 Jul 15 14:476.	10.1186/1471-2164-14-476	23855885	2013	2013/7/15	asterid	1
(Snapdragon)	Antirrhinum majus	520	Li M et al.	Genome structure and evolution of Antirrhinum majus L.	"Nat Plants. 2019 Jan 28, Epub ahead of print"	10.1038/s41477-018-0349-9		2019	2019/1/28	asterid	1
(False pimpernel)	Lindernia subracemosa	250	VanBuren R et al.	Desiccation tolerance evolved through gene duplication and network rewiring in Lindernia.	"Plant Cell 2018 Oct 25, Epub ahead of print"	10.1105/tpc.18.00517	NA	2018	2018/10/25	asterid	1
(False pimpernel)	Lindernia brevidens	270	VanBuren R et al.	Desiccation tolerance evolved through gene duplication and network rewiring in Lindernia.	"Plant Cell 2018 Oct 25, Epub ahead of print"	10.1105/tpc.18.00517		2018	2018/10/25	asterid	1
(Soybean)	Glycine max	1115	Schmutz et al.	Genome sequence of the palaeopolyploid soybean.	Nature. 2010 Jan 14 463(7278):178-83.	10.1038/nature08670	20075913	2010	2010/1/14	rosid	1
(Wild soybean)	Glycine latifolia	1130	Liu Q et al.	"Assembly and annotation of a draft genome sequence for Glycine latifolia, a perennial wild relative of soybean"	"Plant J. 2018 Apr 19, Epub ahead of print"	10.1111/tpj.13931	29671916	2018	2018/4/19	rosid	1
"(Wild cotton, D-genome)"	Gossypium raimondii	880	Wang et al.	The draft genome of a diploid cotton Gossypium raimondii.	Nat Genet. 2012 Oct 44(10):1098-103. Epub 2012 Aug 26.	10.1038/ng.2371	22922876	2012	2012/8/26	rosid	1
"(Wild cotton, F-genome)"	Gossypium longicalyx	1311	Grover CE et al.	The Gossypium longicalyx Genome as a Resource for Cotton Breeding and Evolution.	"G3 (Bethesda). 2020 May 4, 10(5): 1457-1467"	10.1534/g3.120.401050	NA	2020	2020/3/2	rosid	1
(Levant cotton (A-genome))	Gossypium herbaceum	1560	Huang G et al.	Genome sequence of Gossypium herbaceum and genome updates of Gossypium arboreum and Gossypium hirsutum provide insights into cotton A-genome evolution.	"Nat Genet. 2020 Apr 13, Epub ahead of print"	10.1038/s41588-020-0607-4	NA	2020	2020/4/13	rosid	1
"(Wild cotton, (AD)4-genome)"	Gossypium mustelinum	2315	Chen ZJ et al.	Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement.	"Nat Genet. 2020 Apr 20, Epub ahead of print"	10.1038/s41588-020-0614-5	NA	2020	2020/4/20	rosid	1
"(Haiwaiian cotton, (AD)3-genome)"	Gossypium tomentosum	2194	Chen ZJ et al.	Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement.	"Nat Genet. 2020 Apr 20, Epub ahead of print"	10.1038/s41588-020-0614-5	NA	2020	2020/4/20	rosid	1
"(Darwin's cotton, (AD)5-genome)"	Gossypium darwinii	2183	Chen ZJ et al.	Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement.	"Nat Genet. 2020 Apr 20, Epub ahead of print"	10.1038/s41588-020-0614-5	NA	2020	2020/4/20	rosid	1
 	Gossypioides kirkii	588	Udall JA et al.	The Genome Sequence of Gossypioides kirkii Illustrates a Descending Dysploidy in Plants.	"Front. Plant Sci., 2019 Nov 27, Epub ahead of print"	10.3389/fpls.2019.01541	NA	2019	2019/11/27	rosid	1
"(Wild cotton, D-genome)"	Gossypium turneri	910	Udall JA et al.	De novo genome sequence assemblies of Gossypium raimondii and G. turneri.	"G3 (Bethesda). 2019 Aug 28, Epub ahead of print"	10.1534/g3.119.400392	NA	2019	2019/8/28	rosid	1
"(Upland cotton, (AD)1-genome)"	Gossypium hirsutum	2340	Li F et al.	Genome sequence of cultivated Upland cotton (Gossypium hirsutum TM-1) provides insights into genome evolution.	Nat Biotechnol. 2015 May 33(5):524-30. Epub 2015 Apr 20.	10.1038/nbt.3208	25893780	2015	2015/4/20	rosid	1
"(Sea Island cotton, (AD)2-genome)"	Gossypium barbadense	2470	Liu X et al.	Gossypium barbadense genome sequence provides insight into the evolution of extra-long staple fiber and specialized metabolites.	Sci Rep. 2015 Sep 30 5:14139.	10.1038/srep14139	26420475	2015	2015/9/30	rosid	1
(White jute)	Corchorus capsularis	404	Islam MS et al.	Comparative genomics of two jute species and insight into fibre biogenesis.	Nat Plants. 2017 Jan 30 3:16223.	10.1038/nplants.2016.223	28134914	2017	2017/1/30	rosid	1
(Nalta jute)	Corchorus olitorius	448	Islam MS et al.	Comparative genomics of two jute species and insight into fibre biogenesis.	Nat Plants. 2017 Jan 30 3:16223.	10.1038/nplants.2016.223	28134914	2017	2017/1/30	rosid	1
(Durian)	Durio zibethinus	738	Teh BT et al.	The draft genome of tropical fruit durian (Durio zibethinus)	Nat Genet. 2017 Oct 9. (Epub ahead of print)	10.1038/ng.3972	28991254	2017	2017/10/9	rosid	1
(Red silk-cotton tree)	Bombax ceiba	809	Gao Y et al.	De novo genome assembly of the red silk cotton tree (Bombax ceiba)	"Gigascience. 2018 May 10, Epub ahead of print"	10.1093/gigascience/giy051	29757382	2018	2018/5/10	rosid	1
(Rose of Sharon)	Hibiscus syriacus	1900	Kim YM et al.	Genome analysis of Hibiscus syriacus provides insights of polyploidization and indeterminate flowering in woody plants	DNA Res. 2017 Feb 1 24(1):71-80.	10.1093/dnares/dsw049	28011721	2016	2016/12/22	rosid	1
(Kenaf)	Hibiscus cannabinus	1000	Zhang L et al.	The genome of kenaf (Hibiscus cannabinus L.) provides insights into bast fiber and leaf shape biogenesis.	"Plant Biotechnol J. 2020 Jan 23, Epub ahead of print"	10.1111/pbi.13341	NA	2020	2020/1/23	rosid	1
(Barley)	Hordeum vulgare	5100	International Barley Genome Sequencing Consortium	"A physical, genetic and functional sequence assembly of the barley genome."	Nature. 2012 Nov 29 491(7426):711-6. Epub 2012 Oct 17.	10.1038/nature11543	23075845	2012	2012/10/17	monocotyledon	2
(Tibetan hulless barley)	Hordeum vulgare var. nudum	4500	Zeng X et al.	The draft genome of Tibetan hulless barley reveals adaptive patterns to the high stressful Tibetan Plateau	"Proc Natl Acad Sci U S A. 2015 Jan 27, 112(4):1095-1100 Epub 2015 Jan 12."	10.1073/pnas.1423628112	25583503	2015	2015/1/12	monocotyledon	2
(Carrycillo)	Olyra latifolia	646	Guo ZH et al.	Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos.	Mol Plant. 2019 May 27 Epub ahead of print	10.1016/j.molp.2019.05.009	31145999	2019	2019/5/27	monocotyledon	2
 	Raddia guianensis	626	Guo ZH et al.	Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos.	Mol Plant. 2019 May 27 Epub ahead of print	10.1016/j.molp.2019.05.009	31145999	2019	2019/5/27	monocotyledon	2
 	Raddia distichophylla	589	Li W et al.	Draft genome of the herbaceous bamboo Raddia distichophylla.	G3 (Bethesda). 2021 Jan 6	10.1093/g3journal/jkaa049	NA	2021	2021/1/6	monocotyledon	2
(Columbian giant thorny bamboo)	Guadua angustifolia	1614	Guo ZH et al.	Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos.	Mol Plant. 2019 May 27 Epub ahead of print	10.1016/j.molp.2019.05.009	31145999	2019	2019/5/27	monocotyledon	2
 	Bonia amplexicaulis	848	Guo ZH et al.	Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos.	Mol Plant. 2019 May 27 Epub ahead of print	10.1016/j.molp.2019.05.009	31145999	2019	2019/5/27	monocotyledon	2
(Purging nut tree)	Jatropha curcas	380	Sato et al.	"Sequence analysis of the genome of an oil-bearing tree, Jatropha curcas L."	DNA Res. 2011 Feb 18(1):65-76. Epub 2010 Dec 13.	10.1093/dnares/dsq030	21149391	2010	2010/12/13	rosid	1
(Miyako-gusa)	Lotus japonicus	472	Sato et al.	"Genome structure of the legume, Lotus japonicus."	DNA Res. 2008 Aug 15(4):227-39. Epub 2008 May 28.	10.1093/dnares/dsn008	18511435	2008	2008/5/28	rosid	1
(Flax)	Linum usitatissimum	373	Wang et al.	The genome of flax (Linum usitatissimum) assembled de novo from short shotgun sequence reads.	Plant J. 2012 Nov 72(3):461-73. Epub 2012 Aug 14.	10.1111/j.1365-313X.2012.05093.x	22757964	2012	2012/8/14	rosid	1
(Tall-stilt mangrove)	Rhizophora apiculata	274	Xu S et al.	"The origin, diversification and adaptation of a major mangrove clade (Rhizophoreae) revealed by whole-genome sequencing"	"National Science Review, 2017 Jun 5, nwx065"	10.1093/nsr/nwx065	569	2017	2017/6/5	rosid	1
 	Kandelia obovata	212	Hu MJ et al.	Chromosome-scale assembly of the Kandelia obovata genome.	"Hortic Res. 2020 May 2, 7: 75"	10.1038/s41438-020-0300-x	NA	2020	2020/5/2	rosid	1
(Ramie)	Boehmeria nivea	448	Liu C et al.	"Draft genome analysis provides insights into the fiber yield, crude protein biosynthesis, and vegetative growth of domesticated ramie (Boehmeria nivea L. Gaud)"	"DNA Research 2017 Nov 15, dsx047, Epub ahead of print"	doi.org/10.1093/dnares/dsx047	29149285	2017	2017/11/15	rosid	1
"(Wild banana, banana B-genome)"	Musa balbisiana	438	Davey et al.	"A draft Musa balbisiana genome sequence for molecular genetics in polyploid, inter- and intra-specific Musa hybrids."	BMC Genomics. 2013 Oct 5 14:683.	10.1186/1471-2164-14-683	24094114	2013	2013/10/5	monocotyledon	2
(Apple)	Malus domestica	742	Velasco et al.	The genome of the domesticated apple (Malus x domestica Borkh.).	Nat Genet. 2010 Oct 42(10):833-9. Epub 2010 Aug 29.	10.1038/ng.654	21186353	2010	2010/8/29	rosid	1
(European crab apple)	Malus sylvestris	661	Sun X et al.	Phased diploid genome assemblies and pan-genomes provide insights into the genetic history of apple domestication. 	Nat Genet. 2020 Nov 2. Online ahead of print.	10.1038/s41588-020-00723-9	NA	2020	2020/11/2	rosid	1
(Shakar apple)	Malus sieversii	668	Sun X et al.	Phased diploid genome assemblies and pan-genomes provide insights into the genetic history of apple domestication. 	Nat Genet. 2020 Nov 2. Online ahead of print.	10.1038/s41588-020-00723-9	NA	2020	2020/11/2	rosid	1
(Mango)	Mangifera indica	360	Wang P et al.	The genome evolution and domestication of tropical fruit mango.	"Genome Biol. 2020 Mar 6, 21(1): 60"	10.1186/s13059-020-01959-8	NA	2020	2020/3/6	rosid	1
(Loquat)	Eriobotrya japonica	711	Jiang S et al.	Chromosome-level genome assembly and annotation of the loquat (Eriobotrya japonica) genome.	"Gigascience. 2020 Mar 1, 9(3)"	10.1093/gigascience/giaa015	NA	2020	2020/3/6	rosid	1
(Siberian crab apple)	Malus baccata	778	Chen X et al.	Sequencing of a Wild Apple (Malus baccata) Genome Unravels the Differences Between Cultivated and Wild Apple Species Regarding Disease Resistance and Cold Tolerance.	"G3 (Bethesda). 2019 May 24, Epub ahead of print"	10.1534/g3.119.400245	31126974	2019	2019/5/24	rosid	1
(Cassava)	Manihot esculenta	760	Prochnik et al.	"The Cassava Genome: Current Progress, Future Directions."	Trop Plant Biol. 2012 Mar 5(1):88-94. Epub 2012 Jan 5.	10.1007/s12042-011-9088-z	22523606	2012	2012/1/5	rosid	1
(Tung oil tree)	Vernicia fordii	1200	Cui P et al.	"Tung tree (Vernicia fordii, Hemsl.) genome and transcriptome sequencing reveals coordinate upregulation of fatty acid beta-oxidation and triacylglycerol biosynthesis pathways during eleostearic acid accumulation in seeds."	"Plant Cell Physiol. 2018, pcy117, epub ahead of print"	10.1093/pcp/pcy117	NA	2018	2018/8/21	rosid	1
(Mulberry)	Morus notabilis	357	He et al.	Draft genome sequence of the mulberry tree Morus notabilis.	Nat Commun. 2013 4:2445.	10.1038/ncomms3445	24048436	2013	2013/9/19	rosid	1
(Paper mulberry)	Broussonetia papyrifera	380	Peng X et al.	A Chromosome-Scale Genome Assembly of Paper Mulberry (Broussonetia papyrifera) Provides New Insights into Its Forage and Papermaking Usage.	"Mol Plant. 2019 Jan 31, Epub ahead of print"	10.1016/j.molp.2019.01.021	30822525	2019	2019/1/31	rosid	1
(Red bayberry)	Morella rubra	320	Jia HM et al.	The red bayberry genome and genetic basis of sex determination	Plant Biotechnol J. 2018 Jul 10	10.1111/pbi.12985	29992702	2018	2018/7/10	rosid	1
(Common fig)	Ficus carica	356	Mori K et al.	Identification of RAN1 orthologue associated with sex determination through whole genome sequencing analysis in fig (Ficus carica L.)	Sci Rep. 2017 Jan 25 7:41124.	10.1038/srep41124	28120935	2017	2017/1/25	rosid	1
(Laurel fig)	Ficus microcarpa	436	Zhang X et al.	Genomes of the Banyan Tree and Pollinator Wasp Provide Insights into Fig-Wasp Coevolution.	"Cell. 2020 Oct 6, S0092-8674(20) 31240-X, Online ahead of print"	10.1016/j.cell.2020.09.043 	NA	2020	2020/10/8	rosid	1
(Hairy fig)	Ficus hispida	370	Zhang X et al.	Genomes of the Banyan Tree and Pollinator Wasp Provide Insights into Fig-Wasp Coevolution.	"Cell. 2020 Oct 6, S0092-8674(20) 31240-X, Online ahead of print"	10.1016/j.cell.2020.09.043 	NA	2020	2020/10/8	rosid	1
(Japanese fig)	Ficus erecta	340	Shirasawa K et al.	The Ficus erecta genome towards Ceratocystis canker resistance breeding in common fig (F. carica).	"Plant J. 2020 Jan 24, Epub ahead of print"	10.1111/tpj.14703	NA	2020	2020/1/24	rosid	1
(Ceylon ironwood)	Mesua ferrea	1000	Patil AB et al.	The genome sequence of Mesua ferrea and comparative demographic histories of forest trees. 	Gene. 2020 Oct 8: 145214. Online ahead of print.	10.1016/j.gene.2020.145214	NA	2020	2020/10/8	rosid	1
(Breadfruit)	Artocarpus altilis	812	Sahu SK et al.	"Draft Genomes of Two Artocarpus Plants, Jackfruit (A. heterophyllus) and Breadfruit (A. altilis)."	"Genes (Basel). 2019 Dec 24, 11(1)"	10.3390/genes11010027	NA	2019	2019/12/24	rosid	1
(Jackfruit)	Artocarpus heterophyllus	1006	Sahu SK et al.	"Draft Genomes of Two Artocarpus Plants, Jackfruit (A. heterophyllus) and Breadfruit (A. altilis)."	"Genes (Basel). 2019 Dec 24, 11(1)"	10.3390/genes11010027	NA	2019	2019/12/24	rosid	1
(Breadnut)	Artocarpus camansi	669	Gardner EM et al.	"Low-coverage, whole-genome sequencing of Artocarpus camansi (Moraceae) for phylogenetic marker development and gene discovery"	Appl Plant Sci. 2016 Jul 13 4(7). eCollection 2016 Jul.	10.3732/apps.1600017	27437173	2016	2016/7/13	rosid	1
(Barrel clover)	Medicago truncatula	454	Young et al.	The Medicago genome provides insight into the evolution of rhizobial symbioses.	Nature. 2011 Nov 16 480(7378):520-4.	10.1038/nature10625	22089132	2011	2011/11/16	rosid	1
(Cultivated alfalfa)	Medicago sativa	1580	Chen H et al.	Allele-aware Chromosome-Level Genome Assembly and Efficient Transgene-Free Genome Editing for the Autotetraploid Cultivated Alfalfa.	"Nat Commun. 2020 May 19, 11(1): 2494"	10.1038/s41467-020-16338-x 	NA	2020	2020/5/19	rosid	1
(Tjuntiwari)	Nicotiana benthamiana	3000	Bombarely et al.	A draft genome sequence of Nicotiana benthamiana to enhance molecular plant-microbe biology research.	Mol Plant Microbe Interact. 2012 Dec 25(12):1523-30.	10.1094/MPMI-06-12-0148-TA	22876960	2012	2012/12/1	asterid	1
(Coyote tobacco)	Nicotiana attenuata	2500	Xu S et al.	Wild tobacco genomes reveal the evolution of nicotine biosynthesis	Proc Natl Acad Sci U S A. 2017 Jun 6 114(23):6133-6138. Epub 2017 May 23.	10.1073/pnas.1700073114	28536194	2017	2017/5/23	asterid	1
(Desert tobacco)	Nicotiana obtusifolia	1500	Xu S et al.	Wild tobacco genomes reveal the evolution of nicotine biosynthesis	Proc Natl Acad Sci U S A. 2017 Jun 6 114(23):6133-6138. Epub 2017 May 23.	10.1073/pnas.1700073114	28536194	2017	2017/5/23	asterid	1
(Aztec tobacco)	Nicotiana rustica	4990	Sierro N et al.	The impact of genome evolution on the allotetraploid Nicotiana rustica - an intriguing story of enhanced alkaloid production.	"BMC Genomics 2018 Nov 29, 19(1): 855"	10.1186/s12864-018-5241-5	30497378	2018	2018/11/29	asterid	1
 	Nicotiana undulata	2180	Sierro N et al.	The impact of genome evolution on the allotetraploid Nicotiana rustica - an intriguing story of enhanced alkaloid production.	"BMC Genomics 2018 Nov 29, 19(1): 855"	10.1186/s12864-018-5241-5	30497378	2018	2018/11/29	asterid	1
(Small flowered tobacco)	Nicotiana paniculata	3260	Sierro N et al.	The impact of genome evolution on the allotetraploid Nicotiana rustica - an intriguing story of enhanced alkaloid production.	"BMC Genomics 2018 Nov 29, 19(1): 855"	10.1186/s12864-018-5241-5	30497378	2018	2018/11/29	asterid	1
	Nicotiana knightiana	3120	Sierro N et al.	The impact of genome evolution on the allotetraploid Nicotiana rustica - an intriguing story of enhanced alkaloid production.	"BMC Genomics 2018 Nov 29, 19(1): 855"	10.1186/s12864-018-5241-5	30497378	2018	2018/11/29	asterid	1
(Jimson weed)	Datura stramonium	1500	De-la-Cruz IM et al.	Genomic signatures of the evolution of defence against its natural enemies in the poisonous and medicinal plant Datura stramonium (Solanaceae).	"Sci Rep. 2021 Jan 13, 11(1): 882."	10.1038/s41598-020-79194-1	NA	2021	2021/1/13	asterid	1
(Violet-flowered petunia)	Petunia inflata	1400	Bombarely A et al.	Insight into the evolution of the Solanaceae from the parental genomes of Petunia hybrida	Nature Plants 2: 16074 (2016)	10.1038/nplants.2016.74	28536194	2016	2016/5/27	asterid	1
(White moon petunia)	Petunia axillaris	1400	Bombarely A et al.	Insight into the evolution of the Solanaceae from the parental genomes of Petunia hybrida	Nature Plants 2: 16074 (2016)	10.1038/nplants.2016.74	28536194	2016	2016/5/27	asterid	1
(African wild rice)	Oryza brachyantha	300	Chen et al.	Whole-genome sequencing of Oryza brachyantha reveals mechanisms underlying Oryza genome evolution.	Nat Commun. 2013 4:1595.	10.1038/ncomms2596	23481403	2013	2013/3/12	monocotyledon	2
(Chinese silvergrass)	Miscanthus sinensis	2500	Mitros T et al.	Genome biology of the paleotetraploid perennial biomass crop Miscanthus.	"Nat Commun. 2020 Oct 28, 11(1): 5442"	10.1038/s41467-020-18923-6	NA	2020	2020/10/28	monocotyledon	2
(Wild rice (CC-genome))	Oryza rhizomatis	590	Shenton M et al.	"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels."	"Genome Biol Evol. 2020 Mar 3, Epub ahead of print"	10.1093/gbe/evaa037	NA	2020	2020/3/3	monocotyledon	2
(Wild rice (CC-genome))	Oryza eichingeri	500	Shenton M et al.	"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels."	"Genome Biol Evol. 2020 Mar 3, Epub ahead of print"	10.1093/gbe/evaa037	NA	2020	2020/3/3	monocotyledon	2
(Wild rice (CC-genome))	Oryza officinalis	590	Shenton M et al.	"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels."	"Genome Biol Evol. 2020 Mar 3, Epub ahead of print"	10.1093/gbe/evaa037	NA	2020	2020/3/3	monocotyledon	2
(Perennial ryegrass)	Lolium perenne	2000	Byrne SL et al.	A synteny-based draft genome sequence of the forage grass Lolium perenne.	Plant J. 2015 Nov 84(4):816-26.	10.1111/tpj.13037	26408275	2015	2015/9/26	monocotyledon	2
(Cultivated Ussurian pear)	Pyrus ussuriensis x communis	511	Ou C et al.	A de novo genome assembly of the dwarfing pear rootstock Zhongai 1.	"Sci Data. 2019 Nov 25, 6(1): 281"	10.1038/s41597-019-0291-3 	NA	2019	2019/11/25	rosid	1
(Chinese pear)	Pyrus bretschneideri	527	Wu et al.	The genome of the pear (Pyrus bretschneideri Rehd.).	Genome Res. 2013 Feb 23(2):396-408. Epub 2012 Nov 13.	10.1101/gr.144311.112	23149293	2012	2012/11/13	rosid	1
(Birchleaf pear)	Pyrus betulifolia	511	Dong X et al.	De novo assembly of a wild pear (Pyrus betuleafolia) genome.	"Plant Biotechnol J. 2019 Aug 1, Epub ahead of print"	10.1111/pbi.13226	31368610	2019	2019/8/1	rosid	1
(Date palm)	Phoenix dactylifera	658	Al-Dous et al.	De novo genome sequencing and comparative genomics of date palm (Phoenix dactylifera).	Nat Biotechnol. 2011 May 29 29(6):521-7.	10.1038/nbt.1860	21623354	2011	2011/5/29	monocotyledon	2
(Coconut palm)	Cocos nucifera	2420	Xiao Y et al.	The genome draft of Coconut (Cocos nucifera)	"GigaScience, gix095"	10.1093/gigascience/gix095		2017	2017/10/5	monocotyledon	2
(Ginseng rattan)	Daemonorops jenkinsiana	1610	Zhao H et al.	The chromosome-level genome assemblies of two rattans (Calamus simplicifolius and Daemonorops jenkinsiana)	GigaScience 2018: giy097	10.1093/gigascience/giy097	NA	2018	2018/8/7	monocotyledon	2
(Danye rattan)	Calamus simplicifolius	1980	Zhao H et al.	The chromosome-level genome assemblies of two rattans (Calamus simplicifolius and Daemonorops jenkinsiana)	GigaScience 2018: giy097	10.1093/gigascience/giy097	NA	2018	2018/8/7	monocotyledon	2
(Moso bamboo)	Phyllostachys heterocycla	2075	Peng et al.	The draft genome of the fast-growing non-timber forest species moso bamboo (Phyllostachys heterocycla).	"Nat Genet. 2013 Apr 45(4):456-61, 461e1-2. Epub 2013 Feb 24."	10.1038/ng.2569	23435089	2013	2013/2/24	monocotyledon	2
(Norway spruce)	Picea abies	19700	Nystedt et al.	The Norway spruce genome sequence and conifer genome evolution.	Nature. 2013 May 30 497(7451):579-84. Epub 2013 May 22.	10.1038/nature12211	23698360	2013	2013/5/22	coniferophyt	3
(European silver fir)	Abies alba	17360	Mosca E et al.	A Reference Genome Sequence for the European Silver Fir (Abies alba Mill.): A Community-Generated Genomic Resource.	"G3 (Bethesda). 2019 Jun 20, Epub ahead of print"	10.1534/g3.119.400083	31217262	2019	2019/6/20	coniferophyt	3
(Giant sequoia)	Sequoiadendron giganteum	8114	Scott AD et al.	A Reference Genome Sequence for Giant Sequoia.	G3 (Bethesda). 2020 Sep 18: Online ahead of print.	10.1534/g3.120.401612	NA	2020	2020/9/18	coniferophyt	3
(Douglas-fir)	Pseudotsuga menziesii	16100	Neale DB et al.	The Douglas-Fir Genome Sequence Reveals Specialization of the Photosynthetic Apparatus in Pinaceae.	"G3 (Bethesda). 2017 Sep 7, 7(9): 3157-3167"	10.1534/g3.117.300078	28751502	2017	2017/9/7	coniferophyt	3
(Ginkgo tree)	Ginkgo biloba	11750	Guan R et al.	Draft genome of the living fossil Ginkgo biloba.	Gigascience. 2016 Nov 21 5(1):49.	10.1186/s13742-016-0154-1	27871309	2016	2016/11/21	coniferophyt	3
	Gnetum montanum	4200	Wan T et al.	A genome for gnetophytes and early evolution of seed plants	"Nat. Plants 2018, Jan 29, epub ahead of print"	10.1038/s41477-017-0097-2	29379155	2018	2018/1/29	coniferophyt	3
(Japanese plum)	Prunus salicina	310	Liu C et al.	Chromosome-level draft genome of a diploid plum (Prunus salicina). 	"Gigascience. 2020 Dec 10, 9(12): giaa130."	10.1093/gigascience/giaa130	NA	2020	2020/12/10	rosid	1
(Common plum)	Prunus domestica	1400	Callahan AM et al.	Defining the HoneySweet insertion event utilizing NextGen sequencing and a de novo genome assembly of plum (Prunus domestica).	"Hortic Res. 2021 Jan 1, 8(1): 8. "	10.1038/s41438-020-00438-2	NA	2021	2021/1/1	rosid	1
(Chinese plum)	Prunus mume	280	Zhang et al.	The genome of Prunus mume.	Nat Commun. 2012 3:1318.	10.1038/ncomms2290	23271652	2012	2012/12/27	rosid	1
(East Asian cherry)	Cerasus serrulata	257	Yi X et al.	The genome of Chinese flowering cherry (Cerasus serrulata) provides new insights into Cerasus species.	"Hortic Res. 7, 165 (2020)"	10.1038/s41438-020-00382-1	NA	2020	2020/10/1	rosid	1
(Sweet cherry)	Prunus avium	353	Shirasawa K et al.	The genome sequence of sweet cherry (Prunus avium) for use in genomics-assisted breeding.	DNA Res. 2017 May 25. Epub ahead of print	10.1093/dnares/dsx020	28541388	2017	2017/5/25	rosid	1
(Almond)	Prunus dulcis	240	Alioto T et al.	Transposons played a major role in the diversification between the closely related almond and peach genomes: Results from the almond genome sequence.	"Plant J. 2019 Sep 16, Epub ahead of print"	10.1111/tpj.14538	NA	2019	2019/9/16	rosid	1
(Yoshino cherry)	Prunus yedoensis	257	Baek S et al.	Draft genome sequence of wild Prunus yedoensis reveals massive inter-specific hybridization between sympatric flowering cherries.	"Genome Biol. 2018, 19: 127"	10.1186/s13059-018-1497-y	30180884	2018	2018/9/4	rosid	1
(Chestnut rose)	Rosa roxburghii	481	Lu M et al.	Genome Survey Sequencing for the Characterization of the Genetic Background of Rosa roxburghii Tratt and Leaf Ascorbate Metabolism Genes.	PLoS One. 2016 Feb 5 11(2):e0147530. eCollection 2016.	10.1371/journal.pone.0147530	26849133	2016	2016/2/5	rosid	1
(Many-flowered rose)	Rosa multiflora	750	Nakamura N et al.	"Genome structure of Rosa multiflora, a wild ancestor of cultivated roses"	"DNA Research, dsx042, epub ahead of print"	10.1093/dnares/dsx042		2017	2017/10/16	rosid	1
(China rose)	Rosa chinensis	560	Raymond O et al.	The Rosa genome provides new insights into the domestication of modern roses.	"Nat Genet. 2018 Apr 30, Epub ahead of print"	10.1038/s41588-018-0110-3	29713014	2018	2018/4/30	rosid	1
(Black raspberry)	Rubus occidentalis	293	VanBuren R et al.	The genome of black raspberry (Rubus occidentalis).	Plant J. 2016 Sep 87(6):535-47. Epub 2016 Jul 20.	10.1111/tpj.13215	27228578	2016	2016/5/26	rosid	1
(Common walnut)	Juglans regia	606	Martinez-Garcia PJ et al.	The walnut (Juglans regia) genome sequence reveals diversity in genes coding for the biosynthesis of nonstructural polyphenols.	Plant J. 2016 Sep 87(5):507-32. Epub 2016 Jul 18.	10.1111/tpj.13207	27145194	2016	2016/5/3	rosid	1
(Northern California walnut)	Juglans hindsii	577	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(Texas black walnut)	Juglans microcarpa	571	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(Eastern black walnut)	Juglans nigra	583	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(Chinese walnut)	Juglans cathayensis	582	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(Chinese wingnut)	Pterocarya stenoptera	600	Stevens KA et al.	Genomic Variation Among and Within Six Juglans Species.	"G3 (Bethesda). 2018 May 23, Epub ahead of print"	10.1534/g3.118.200030	29792315	2018	2018/5/23	rosid	1
(Chinese hickory)	Carya cathayensis	721	Huang Y et al.	The genomes of pecan and Chinese hickory provide insights into Carya evolution and nut nutrition.	GigaScience 2019 May 02 8(5): giz036	10.1093/gigascience/giz036	NA	2019	2019/5/2	rosid	1
(Pecan)	Carya illinoinensis	650	Huang Y et al.	The genomes of pecan and Chinese hickory provide insights into Carya evolution and nut nutrition.	GigaScience 2019 May 02 8(5): giz036	10.1093/gigascience/giz036	NA	2019	2019/5/2	rosid	1
